corp_code,corp_name,corp_eng_name,induty_code,modify_date,recent_audit_rcept_dt,recent_audit_report,recent_audit_rcept_no,revenue_raw
01919699,동방전기공업,"DONG BANG ELECTRIC INDUSTRIAL CO., LTD.",28112,20250508,20260409,[기재정정]감사보고서 (2025.12),20260409000719,
02015510,에이치케이(HK)정공,"HK precision co,.ltd",29142,20260424,,,,
02027047,현대에코시스템,hyundaiecosystem,4652,20260512,,,,
02024165,맥슨모터코리아,maxon motor korea,46595,20260507,,,,
00338189,대동중공업,Dae Dong Heavy Ind co.ltd.,291,20260223,20260402,감사보고서 (2025.12),20260402001065,
02019695,엘에프엠,"Logistics Future Mobility Co., Ltd.",29299,20260511,,,,
01921861,씨에이메탈,CAMETAL,24212,20250509,20260410,감사보고서 (2025.12),20260410000585,
01909142,금강특장차,kumkangmotors,30124,20250514,20260410,감사보고서 (2025.12),20260410002420,
00226501,동양판넬공업,DONG YANG PANEL,2511,20260224,20260421,연결감사보고서 (2025.12),20260421000500,
00142731,우성전기공업,"USEONG ELECTRO MECHANICS CO.,LTD.",26293,20260224,20260430,연결감사보고서 (2025.12),20260430001244,
01924239,나이스폴리머,nicepolymer,46733,20250514,20260403,감사보고서 (2025.12),20260403002618,
00319847,레오니와이어링시스템즈코리아,Leoni wiring systems korea,30,20260305,20260402,감사보고서 (2025.12),20260402003145,
00966034,진명정밀,Jinmyung Co. Ltd,30,20250619,20260403,감사보고서 (2025.12),20260403001259,
00655527,한국정공,Korea Precision Manufacturing Company .Ltd,30,20260313,20260401,감사보고서 (2025.12),20260401002738,
02005461,워크업아웃도어,"WORKUPOUTDOOR.,CO.,LTD",46413,20260422,,,,
02025119,정호정밀,Jeongho Precision,30399,20260514,,,,
01838729,현대아이이씨,Hyundai Intergrated Engineering-Solution Company ,24111,20250425,20260401,감사보고서 (2025.12),20260401001728,
01468812,삼진모빌리티,"SAM JIN MOBILITY CO., LTD.",30399,20251226,20260408,감사보고서 (2025.12),20260408000476,
